"source","canonical_url","ppid","PAName","Heading","islive","isnew","showInCatalog","Summary","Vertical","Solutions","Platform","Product","ProductType","Image1Url","DetailPage","Status","externalUrl","isRedirected","rm_Status","rm_Public_Site_Link","rm_Production_Link","rm_Final_Content_Type","rm_Drupal_Page_URL","rm_RHAC_page","rm_Final_Demo_Title","rm_Publish_states","rm_Featured_Start_Date","rm_Featured_End_Date","rm_Origin_Type","rm_Primary_Product","rm_Product","rm_Marketing_Program","rm_TDP","rm_Sales_Tactic","rm_Verticals","rm_Event","rm_Primary_Audience","rm_Personas","rm_Pain_Points","rm_Creator_Name","rm_Creator_Team","rm_Quarter","rm_Demo_Description","rm_Demo_Description_(Gemini_generated)","rm_Language","rm_Duration","rm_SEOWords","rm_CTALink","rm_Join_Key","rm_Number","rm_Metadata"
"PAList+RM","https://www.redhat.com/en/interactive-demo/mcp-server-rhel","266","266-mcp-server-for-rhel-interactive-experience","MCP Server for RHEL","TRUE","FALSE","FALSE","Monitor RHEL system performance and analyze logs using natural language through MCP server integration. Explore AI-powered system monitoring and log analysis for Red Hat Enterprise Linux.","All","AI Platform","","","IE","","IE/mcp-server-for-rhel-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/266-mcp-server-for-rhel-interactive-experience","","","https://www.redhat.com/en/interactive-demo/mcp-server-rhel","https://www.redhat.com/architect/portfolio/detail/266-mcp-server-for-rhel-interactive-experience","MCP Server for RHEL","","","","2026Summit manually added","Red Hat Enterprise Linux","","","AI Platform","","","","","","","Samiksha Saxena","RHEL","CY26Q2","See how to use natural language to monitor the performance and log analysis of your RHEL system.","This interactive demo explores the capabilities of Red Hat Enterprise Linux MCP, offering a preview of its features for developers to enhance their server environments. It provides a high-level overview of this new server technology and its potential applications. • Viewing the introductory slide for Red Hat Enterprise Linux MCP developer preview.","","","","","MCP Server for RHEL","273",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/mcp-server-red-hat-lightspeed","265","265-mcp-server-for-red-hat-lightspeed-interactive-experience","MCP Server for Red Hat Lightspeed","TRUE","FALSE","FALSE","Learn how to use natural language to access Red Hat Lightspeed data through an MCP server integration. Explore AI-powered interactions with Red Hat Insights and Lightspeed capabilities.","All","AI Platform","","","IE","","IE/mcp-server-for-red-hat-lightspeed-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/265-mcp-server-for-red-hat-lightspeed-interactive-experience","","","https://www.redhat.com/en/interactive-demo/mcp-server-red-hat-lightspeed","https://www.redhat.com/architect/portfolio/detail/265-mcp-server-for-red-hat-lightspeed-interactive-experience","MCP Server for Red Hat Lightspeed","","","","2026Summit manually added","Red Hat Insights","","","AI Platform","","","","","","","Samiksha Saxena","RHEL","CY26Q2","See how to use natural languge to access Red Hat Lightspeed data.","This interactive demo helps users gain critical insights for managing Red Hat Enterprise Linux environments. It walks through the full experience of leveraging AI-assisted capabilities for security and planning. • Learning how MCP server Red Hat Lightspeed assists with prioritizing vulnerabilities. • Understanding which vulnerabilities can be resolved without requiring a system reboot. • Typing natural language questions to get tailored responses about the RHEL roadmap. • Triggering essential analysis tools to enhance vulnerability detection.","","","","","MCP Server for Red Hat Lightspeed","272",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/managed-openshift-multi-cloud-ai-orchestration","264","264-managed-openshift-multi-cloud-ai-orchestration-interactive-experience","Managed OpenShift: Multi-cloud AI orchestration","TRUE","FALSE","FALSE","Explore Red Hat OpenShift Cloud Services (ROSA, ARO, OSD) for unified multi-cloud AI orchestration across AWS, Azure, and GCP. Learn how RHACM, Red Hat OpenShift AI, and MCP enable consistent, production-ready AI agent deployment without infrastructure management overhead.","All","Application Platform","","","IE","","IE/managed-openshift-multi-cloud-ai-orchestration-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/264-managed-openshift-multi-cloud-ai-orchestration-interactive-experience","","","https://www.redhat.com/en/interactive-demo/managed-openshift-multi-cloud-ai-orchestration","https://www.redhat.com/architect/portfolio/detail/264-managed-openshift-multi-cloud-ai-orchestration-interactive-experience","Managed OpenShift: Multi-cloud AI orchestration","","","","2026Summit manually added","Red Hat OpenShift","","","Application Platform","","","","","","","Gaurav Midha","HPBU","CY26Q2","This demo highlights the power of Red Hat OpenShift Cloud Services (ROSA, ARO, and OSD) in delivering a unified, managed platform for global AI orchestration across AWS, Azure, and GCP. By combining RHACM for multi-cluster automation with Red Hat OpenShift AI (RHOAI) for centralized model serving and MCP for accessing tools, organizations can deploy consistent, production-ready AI agents on any cloud without the operational burden of managing underlying infrastructure.","This interactive demo helps organizations operationalize AI models and applications across diverse cloud environments. It showcases how to manage and deploy AI-powered chatbots on managed OpenShift clusters. • Viewing imported Azure Red Hat OpenShift (ARO) and Red Hat OpenShift Service on AWS (ROSA) clusters in the RHACM Hub Cluster. • Reviewing governance policies for deploying operators and configurations across OpenShift Cloud Services clusters. • Inspecting the llama-stack applicationset topology and deployed pods in the ARO cluster. • Confirming the use of the Granite Model from Model as a Service (MaaS) within the application's YAML configuration. • Interacting with the deployed AI chatbot, enabling websearch and OpenShift MCP server tools, and querying cluster information.","","","","","Managed OpenShift: Multi-cloud AI orchestration","228",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/digital-sovereignty-readiness-assessment-autoplay-interactive-experience","263","263-digital-sovereignty-readiness-assessment-autoplay-interactive-experience","Digital Sovereignty Readiness Assessment (Autoplay)","TRUE","FALSE","FALSE","Autoplay guided assessment of your organization's digital sovereignty readiness with Red Hat's evaluation framework, covering data sovereignty, regulatory compliance, infrastructure control, security architecture, and sovereign cloud deployment strategies","All","Application Platform","","","IE","","IE/digital-sovereignty-readiness-assessment-autoplay-interactive-experience.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/sovereign-ai-and-neo-clouds-red-hat-and-rafay-autoplay","262","262-sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-autoplay-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Rafay (Autoplay)","TRUE","FALSE","FALSE","Autoplay demonstration of sovereign AI and neo cloud deployments with Red Hat OpenShift and Rafay, showcasing centralized Kubernetes management, data sovereignty compliance, secure multi-cluster AI infrastructure, and automated policy enforcement across hybrid environments","All","Application Platform","","","IE","","IE/sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-autoplay-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/262-sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-autoplay-interactive-experience","","","https://www.redhat.com/en/interactive-demo/sovereign-ai-and-neo-clouds-red-hat-and-rafay-autoplay","https://www.redhat.com/architect/portfolio/detail/262-sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-autoplay-interactive-experience","(Autoplay)Sovereign AI and Neo Clouds with Red Hat and Rafay","","","","2026Summit manually added","Red Hat OpenShift","","","Application Platform","","","","","","","Ricardo Garcia Cavero","Portfolio Technical Marketing and Platforms","CY26Q2","Sovereign AI and Neo Clouds with Red Hat and Rafay","This interactive demo helps organizations establish sovereign AI infrastructure with robust multi-tenant isolation and automated billing. It walks through the full deployment and management experience for AI-enabled resources from a self-service portal. • Reviewing the Red Hat Open Sovereign AI Cloud (OSAC) architecture with Rafay • Navigating the self-service portal to view available SKUs and resource utilization • Creating a new workspace in the User Portal • Deploying a developer pod, configuring resources like CPU, GPU, and RHEL image, and connecting via SSH • Deploying a virtual machine (VM), specifying SSH keys, CPU, memory, disk, GPU, and RHEL OS variant, then connecting via SSH • Deploying a Red Hat OpenShift cluster, selecting version, enabling HA, configuring node counts, GPU type, and network details","","","","","(Autoplay)Sovereign AI and Neo Clouds with Red Hat and Rafay","331",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-autoplay-interactive-experience","261","261-sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-autoplay-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Netris - Deep Dive (Autoplay)","TRUE","FALSE","FALSE","Deep dive autoplay demonstration of sovereign AI and neo cloud architectures with Red Hat OpenShift and Netris networking, featuring advanced network automation, data sovereignty controls, secure AI infrastructure, and comprehensive edge-to-cloud deployment workflows","All","Application Platform","","","IE","","IE/sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-autoplay-interactive-experience.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/sovereign-ai-and-neo-clouds-with-red-hat-and-netris-higher-level-autoplay-interactive-experience","260","260-sovereign-ai-and-neo-clouds-with-red-hat-and-netris-higher-level-autoplay-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Netris - Higher Level (Autoplay)","TRUE","FALSE","FALSE","This autoplay higher-level overview demonstrates sovereign AI and neo cloud architectures with Red Hat OpenShift and Netris, showcasing secure AI infrastructure, network automation, data sovereignty, and compliant edge-to-cloud deployments","All","Application Platform","","","IE","","IE/sovereign-ai-and-neo-clouds-with-red-hat-and-netris-higher-level-autoplay-interactive-experience.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/red-hat-open-sovereign-ai-cloud-autoplay-interactive-experience","259","259-red-hat-open-sovereign-ai-cloud-autoplay-interactive-experience","Red Hat's Open Sovereign AI Cloud (Autoplay)","TRUE","FALSE","FALSE","Experience Red Hat's Open Sovereign AI Cloud approach through this autoplay interactive demonstration showcasing secure, compliant AI infrastructure with open source foundations, sovereignty controls, and enterprise-grade AI deployment capabilities","All","Application Platform","","","IE","","IE/red-hat-open-sovereign-ai-cloud-autoplay-interactive-experience.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/digital-sovereignty-readiness-assessment","258","258-digital-sovereignty-readiness-assessment-interactive-experience","Digital Sovereignty Readiness Assessment","TRUE","FALSE","FALSE","Assess your organization's digital sovereignty readiness with Red Hat's interactive evaluation framework for data sovereignty, regulatory compliance, infrastructure control, and secure cloud architecture across hybrid and multi-cloud environments","All","Application Platform","","","IE","","IE/digital-sovereignty-readiness-assessment-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/258-digital-sovereignty-readiness-assessment-interactive-experience","","","https://www.redhat.com/en/interactive-demo/digital-sovereignty-readiness-assessment","https://www.redhat.com/architect/portfolio/detail/258-digital-sovereignty-readiness-assessment-interactive-experience","Digital Sovereignty Readiness Assessment","","","","2026Summit manually added","Red Hat OpenShift","","","Application Platform","","","","","","","Ricardo Garcia Cavero","Portfolio Technical Marketing and Platforms","CY26Q2","Digital Sovereignty Readiness Assessment","This interactive demo helps organizations objectively evaluate their digital sovereignty posture, gaining an objective baseline across critical dimensions. It walks through the full self-service assessment experience from start to finish, providing insights and recommended actions. • Starting the Red Hat Digital Sovereignty Readiness Assessment. • Answering questions across seven critical dimensions: Data sovereignty, Technical sovereignty, Operational sovereignty, Assurance sovereignty, Open source, Executive oversight, and Managed services. • Reviewing the assessment results, including the overall maturity score and domain-specific analysis. • Identifying research questions for stakeholders and recommended improvement actions for identified gaps.","","","","","Digital Sovereignty Readiness Assessment","325",""
"PAList only","https://www.redhat.com/architect/portfolio/detail/sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-interactive-experience","257","257-sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Rafay","TRUE","FALSE","FALSE","Discover sovereign AI and neo cloud deployments with Red Hat OpenShift and Rafay for centralized Kubernetes management, data sovereignty compliance, and secure multi-cluster AI infrastructure across hybrid and edge environments","All","Application Platform","","","IE","","IE/sovereign-ai-and-neo-clouds-with-red-hat-and-rafay-interactive-experience.adoc","Active","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PAList+RM","https://www.redhat.com/en/interactive-demo/sovereign-ai-and-neo-clouds-red-hat-and-netris-deep-dive","256","256-sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Netris - Deep Dive","TRUE","FALSE","FALSE","Explore sovereign AI and neo cloud architectures with Red Hat OpenShift and Netris networking for secure, compliant AI infrastructure with advanced network automation, data sovereignty controls, and scalable edge-to-cloud deployment","All","Application Platform","","","IE","","IE/sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-interactive-experience.adoc","Active","","TRUE","IE Published","https://www.redhat.com/architect/portfolio/detail/256-sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-interactive-experience","","","https://www.redhat.com/en/interactive-demo/sovereign-ai-and-neo-clouds-red-hat-and-netris-deep-dive","https://www.redhat.com/architect/portfolio/detail/256-sovereign-ai-and-neo-clouds-with-red-hat-and-netris-deep-dive-interactive-experience","Sovereign AI and Neo Clouds with Red Hat and Netris (deep dive)","","","","2026Summit manually added","Red Hat AI","","","Application Platform","","","","","","","Ishu Verma","Portfolio Technical Marketing and Platforms","CY26Q2","Sovereign AI and Neo Clouds with Red Hat and Netris","This interactive demo helps service providers, telcos, and large enterprises build multi-tenant sovereign AI clouds and neoclouds. It walks through the full solution architecture and operational experience from start to finish. • Exploring the Red Hat and Netris solution for multi-tenant sovereign AI clouds and neoclouds. • Reviewing the technical architecture, including Red Hat OpenShift, Red Hat Enterprise Linux, Red Hat AI Enterprise, and Ansible Automation Platform. • Understanding Netris's role in delivering hard multi-tenancy, cluster provisioning, and de-provisioning workflows. • Viewing the Netris UI to inspect network topology, dashboards, and managed hardware health. • Monitoring network interfaces, External BGP status, and NAT rules within the Netris platform.","","","","","Sovereign AI and Neo Clouds with Red Hat and Netris (deep dive)","324",""
